;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ARC12_NEWS_LONG;Since the end of the colonial rule, Arcadia has been a place of constant rivalry and warfare. Immigrants hoping to flee from the war-torn Europe arrived here only to find more violence and bloodshed. But now it is possible that this era is over. Pan-Arcadianism, the idea of united Arcadia, idea that has been something only avid Romantics have dreamt of...maybe this dream of freedom and unity can actually see reality with the creation of the Arcadian Federation?;;;;;;;;;;;;;
ARC12_NEWS_MEDIUM;Since the end of the colonial rule, Arcadia has been a place of constant rivalry and warfare. But now the western continent has been united and maybe the ideals of Pan-Arcadianism will succeed and initiate a new period of prosperity!;;;;;;;;;;;;x
ARC12_NEWS_SHORT;Since the end of the colonial rule, Arcadia has been a place of constant rivalry and warfare. But now the various countries of the continent have been united in a new country.;;;;;;;;;;;;x
46411_NEWS_LONG;Despite the death of the 'Father of the Revolution', Sim�n Bol�var in 1830, and his successor Francisco de Paula Santander in 1832, their followers led by Francisco de Miranda and Juan Manuel Santos continued fighting the Spanish colonial government and eventually banished the Spanish from the New World. But the Bolívar's dream of united Gran Colombia soon deteriorated into disputes over the distribution of powers between Mexico and the rest of the former Hispanic republics. The self-declared provisional president de Miranda called representatives of all important factions to Andagoya, in one last desperate try to safe the unity of the newborn republic. Will he succeed?;;;;;;;;;;;;x
46411_NEWS_MEDIUM;Despite the victory against the Spanish Gran Colombia is splintered. The self-declared provisional president de Miranda called representatives of all important factions to Andagoya, in one last desperate try to safe the unity of the newborn republic.;;;;;;;;;;;;x
46411_NEWS_SHORT;The President of Gran Colombia has called representatives in Andagoya to discuss the future of the Republic.;;;;;;;;;;;;x
46409_NEWS_LONG;After much deliberation between the various Colombian political groups, common ground was found and a new Constitution has been drafted, promising both liberty and unity to all Hispanic citizens of Gran Colombia. The Colombian Dream seems like it will endure with the consent of its people and democratic values.;;;;;;;;;;;;x
46409_NEWS_MEDIUM;After much deliberation, common ground was found and a new Constitution has been drafted, promising both liberty and unity to all citizens of Gran Colombia. It seems like the republic will endure, with the consent of its people!;;;;;;;;;;;;x
46409_NEWS_SHORT;Gran Colombia has been given a democratic constitution that gives power to all Hispanic citizens.;;;;;;;;;;;;x
334202_NEWS_LONG;The War of the Rising Sun was a civil war in Japan, fought between forces of the ruling imperial court and those seeking to return political power to the Daimyos and Samurais. The Koreans used the advantage of the ongoing Japanese civil war and their nobility restored the Joseon dynasty declaring them the only rightful rulers of Korea. Thanks to the local support they were able to usurp the control of many provinces and formed an organized resistance against both forces of Imperials and Samurais. The help of the Qing Empire helped the Koreans liberate their peninsula and now the Japanese Emperor has been forced to recognize the independence of the Joseon Kingdom.;;;;;;;;;;;;x
334202_NEWS_MEDIUM;The War of the Rising Sun was a civil war in Japan, fought between forces of the ruling imperial court and those seeking to return political power to the Daimyos and Samurais. The Koreans took  advantage of the ongoing Japanese civil war and restored the Joseon Dynasty's rule over the peninsula.;;;;;;;;;;;;x
334202_NEWS_SHORT;The Koreans used the advantage of the ongoing Japanese civil war and their nobility restored the Joseon dynasty declaring them the only rightful rulers of Korea.;;;;;;;;;;;;x
334303_NEWS_LONG;After a decade of war, Japan is now at peace. The War of the Rising Sun fought between the partisans of the Emperor and the rebel daimyos and samurais has cemented the position of the Imperial Court in the country and abroad: the samurais have been defeated and their position abolished. Meanwhile the Imperial forces have managed to pacify Korea and restore order despite the intervention of the Manchus. Now the Land of the Rising Sun will without doubt occupy an important place in the order of the World, its power unmatched in the Far-East.;;;;;;;;;;;;x
334303_NEWS_MEDIUM;The War of the Rising Sun fought between the partisans of the Emperor and the rebel daimyos and samurais has cemented the position of the Imperial Court in the country and abroad. Now the Land of the Rising Sun will without doubt occupy an important place in the order of the World.;;;;;;;;;;;;x
334303_NEWS_SHORT;The War of the Rising Sun fought between the partisans of the Japanese Emperor and the rebel daimyos and samurais has cemented the position of the Imperial Court in the country and abroad.;;;;;;;;;;;;x
334331_NEWS_LONG;Dutch traders have tried for decades to get a foothold in China to trade like the Spanish enclave of Macao. Sensing an opportunity following the failure of the Ming pretender to retake Nanjing the V.O.C sent ships to secure the island of Hong-Kong in the Pearl Delta, intending to use it to bolster its influence in the East after the loss of their Japanese trading posts. But despite what they thought the Army and Navy of the State of Tungning have responded and expelled the Burgundians from the island. The Anvers government must now intervene by either condemning the V.O.C intentions or by siding with its traders and declare war on the Ming.;;;;;;;;;;;;x
334331_NEWS_MEDIUM;Sensing weakness following the failure of the Ming pretender to retake Nanjing the V.O.C sent ships to secure the island of Hong-Kong in the Pearl Delta but have been expelled by the Tungning Army. All awaits the Burgundian reaction.;;;;;;;;;;;;x
334331_NEWS_SHORT;Following an attempt by the V.O.C to take the island of Hong-Kong from the Ming dynasty, the Burgundian government is pressed to intervene in China.;;;;;;;;;;;;x
334332_NEWS_LONG;Following the meddling of Dutch traders in China, the V.O.C and the Kingdom of Burgundy have acquired a port in the Pearl Delta with the island of Hong Kong. With this outpost in the South of China, the Burgundians will challenge more effectively the Spanish enclave of Macao. Already a colonial governor has been nominated to take care of the Crown Colony of Port-Anne which will surely become the Jewel of South China!;;;;;;;;;;;;x
334332_NEWS_MEDIUM;Following the meddling of Dutch traders in China, the V.O.C and the Kingdom of Burgundy have acquired a port in the Pearl Delta with the island of Hong Kong. Already a colonial governor has been nominated to take care of the Crown Colony of Port-Anne.;;;;;;;;;;;;x
334332_NEWS_SHORT;Following the meddling of Dutch traders in China, the V.O.C and the Kingdom of Burgundy have acquired a port in the Pearl Delta with the island of Hong Kong.;;;;;;;;;;;;x
334335_NEWS_LONG;Following negotiations between the Scandinavian and Taiping government the area of Kwangchowan has been leased to Scandinavia for a century, with exclusive economic rights in the Taiping prefectures adjoining the bay. The port strategically located between Indochina and the Pearl Delta may rise one day to rival Macao and Hong Kong for the trade in the area, at least that is the ambition of the Scandinavian authorities. Time will tell but at least the Northern Cross has been hailed in Alexandershavn.;;;;;;;;;;;;x
334335_NEWS_MEDIUM;Following negotiations between the Scandinavian and Taiping government the area of Kwangchowan has been leased to Scandinavia. The port strategically located between Indochina and the Pearl Delta may rise one day to rival Macao and Hong Kong.;;;;;;;;;;;;x
334335_NEWS_SHORT;$THISCOUNTRY$ has acquired the port of Kwangchowan in South China and intends to develop it to rival the ports of Macao and Hong Kong.;;;;;;;;;;;;x
334336_NEWS_LONG;Negotiations between the Scandinavian diplomats and the Taiping courts have not succeeded, the Chinese state refusing to lease the port of Kwangchowan. It is a blow for the Scandinavian government which is likely to try and take the port nevertheless to not lose face in Europe.;;;;;;;;;;;;x
334336_NEWS_MEDIUM;Negotiations between the Scandinavian diplomats and the Taiping courts have not succeeded, the Chinese state refusing to lease the port of Kwangchowan. It is a blow for the Scandinavian government which is likely to try and take the port nevertheless to not lose face in Europe.;;;;;;;;;;;;x
334336_NEWS_SHORT;Negotiations between the Scandinavian diplomats and the Taiping courts have not succeeded which could mean war in the Far-East.;;;;;;;;;;;;x
334339_NEWS_LONG;The city of Shanghai is strategically located near the estuary of the Yangzi River, and its favorable port has hosted trade ships for centuries. Now $FROMCOUNTRY_ADJ$ has accepted to cede the port as a concession to $THISCOUNTRY$, which has also obtained special rights and privileges in trading in the area. This new European concession is not viewed favorably by the Empire of Japan nor by the powers that hold the ports of the Pearls Delta but the might of $THISCOUNTRY$ has forbidden them to make any comment.;;;;;;;;;;;;x
