CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
2nd_caucasian_war;Second Caucasian War;;;;;;;;;;;;;x
5yp_army;Five Year Plan: Army;;;;;;;;;;;;;x
5yp_industry;Five Year Plan: Industry;;;;;;;;;;;;;x
5yp_rank;Five Year Plan: Rank;;;;;;;;;;;;;x
abdulmejid_i_reforms;Reforms of Sultan Abdulmejid I;;;;;;;;;;;;;x
abdulmejid_i_reforms_desc;"In compliance with his fatherís express instructions, Abdulmejid immediately carried out the reforms to which Mahmud II had devoted himself. In November 1839 an edict known as the Hatt-i Serif of G¸lhane, also known as Tanzimat Fermani was proclaimed, consolidating, and enforcing these reforms. The edict was supplemented at the close of the Crimean War by a similar statute issued in February 1856, named the Hatt-i H¸mayun. By these enactments it was provided that all classes of the sultanís subjects should have their lives and property protected; that taxes should be fairly imposed and justice impartially administered; and that all should have full religious liberty and equal civil rights. The scheme met with strong opposition from the Muslim governing classes and the ulema, or religious authorities, and was only partially implemented, especially in the remoter parts of the empire. More than one conspiracy was formed against the sultanís life on account of it.";;;;;;;;;;;;;x
abolitionist_pamphlets;Abolitionist Pamphlets;;;;;;;;;;;;;x
abolitionist_society;Abolitionist Society;Organisation abolitionniste;Abolitionistengesellschaft;;;;;;;;;;;x
abolitionist_society_desc;An abolitionist society in this province is spreading pamphlets decrying slavery, and calling for its abolition.;Une organisation abolitionniste de cette province publie des pamphlets qui dÈnoncent l'esclavage et appellent ‡ son abolition.;Eine Abolitionistengesellschaft in dieser Provinz verteilt Pamphlete, welche die Sklaverei anklagen und ihre Abschaffung fordern.;;;;;;;;;;;x
abstained_to_congo;Abstain from Voting.;;;;;;;;;;;;;x
acceptable_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;x
accepts_new_provinces;Zombieland will accept new provinces;;;;;;;;;;;;;x
admin_spen;AI Administration Spending;;;;;;;;;;;;;x
administrative_efficiency_modifier;Administrative Efficiency;;;;;;;;;;;;;x
administrative_genius;Administrative Genius;;;;;;;;;;;;;x
administrative_genius_desc;Under our leaderís guidance, the countryís bureaucracy has never run more efficiently. Nothing escapes his notice.;;;;;;;;;;;;;x
african_exodus;African Exodus;;;;;;;;;;;;;x
african_integration_policy;African Integration Policy;;;;;;;;;;;;;x
agreed_to_tangier_protocol;Agreed to the Tangier Protocol;Agreed to the Tangier Protocol;;;;;;;;;;;;x
ai_bonus;AI Bonus;;;;;;;;;;;;;x
ai_boost;AI Boost;AI Boost;AI Boost;;;;;;;;;;;x
ai_income_boost;AI Income Boost;;;;;;;;;;;;;x
ai_income_boost_desc;Whatís breaking into a bank compared with founding a bank?í\n-Bertolt Brecht;;;;;;;;;;;;;x
ai_militancy_fix;AI: Militancy Fix;;;;;;;;;;;;;x
ai_militancy_fix_desc;Description goes here.;;;;;;;;;;;;;x
ai_warships_cooldown;AI Warship Cooldown Timer;;;;;;;;;;;;;x
aim_of_byzantine_conquest;Aim of Byzantine conquest;;;;;;;;;;;;;x
aim_of_byzantine_conquest_desc;This province is the current target of the Byzantine expansion;;;;;;;;;;;;;x
albania_exchange;Albania Exchange;;;;;;;;;;;;;x
alexandru_ioan_cuza;Alexandru Ioan Cuza;;;;;;;;;;;;;x
already_annexed;Already Annexed;;;;;;;;;;;;;x
already_annexed_desc;Description goes here.;;;;;;;;;;;;;x
am_everywhere;I Am Everywhere;Je suis partout;Ich Bin ‹berall;;;;;;;;;;;x
am_everywhere_desc;A fascist newspaper has released its first copy in the province.;Le premier numÈro d'un journal fasciste est paru dans votre province.;Eine faschistische Zeitung hat ihre erste Ausgabe in der Provinz herausgegeben.;;;;;;;;;;;x
ambitious_union_boss;Ambitious Union Boss;;;;;;;;;;;;;x
ambitious_union_boss_desc;Our leader hails from the ranks of the blue-collar unions, a man who has worked his way up through the ranksÖ right to the very top.;;;;;;;;;;;;;x
amele_taburlari;Amele Taburlari;;;;;;;;;;;;;x
america_new_world;The New World;;;;;;;;;;;;;x
america_new_world_desc;Many immigrants from the old world are arriving on our shores;;;;;;;;;;;;;x
american_anti_slavery_society;American Anti-Slavery Society;L'American Anti-Slavery Society;American Anti-Slavery Society;;;;;;;;;;;x
american_anti_slavery_society_desc;A society dedicated to the abolition of slavery operates in this province.;Une organisation prÙnant l'abolition de l'esclavage sÈvit dans cette province.;Eine Gesellschaft, die sich der Abschaffung der Sklaverei verschrieben hat, operiert in dieser Provinz.;;;;;;;;;;;x
amir_kabir;Amir Kabir;;;;;;;;;;;;;x
amir_kabir_desc;Amir Kabir Mirza Taghi Khan Farahani is overseeing great works of reform in our country, to the anger of some.;;;;;;;;;;;;;x
anarchic_bomb_throwers;Anarchic Bomb Throwers;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;x
anarchic_bomb_throwers_desc;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.;La baisse des dÈpenses consacrÈes ‡ la lutte contre le crime se traduit par une moindre efficacitÈ en termes de rÈponse aux atteintes ‡ la sÈcuritÈ comme les soulËvements d'anarchistes.;Weniger Geld f¸r die Verbrechensbek‰mpfung f¸hrt zu einer verringerten Reaktionsf‰higkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;x
angered_by_bakufu;Angered by the bakufu;;;;;;;;;;;;;x
animists_run;Animist Emigration;;;;;;;;;;;;;x
ansei_purge;Ansei Purge;;;;;;;;;;;;;x
