CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anarchist;Syndicalist;;;;;;;;;;;;;x
anarchist_uh;Syndicalists want to enact political and social reforms.;;;;;;;;;;;;;x
anarcho_liberal;Radical;;;;;;;;;;;;;x
anarcho_liberal_uh;Radicals want to see the extension of political reforms, may or may not support social reforms, but will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Radicale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;;;;;;;;;;x
communist;Communists;;;;;;;;;;;;;x
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;x
conservative;Conservative;;;;;;;;;;;;;x
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;;;;;;;;;;x
fascist;Fascist;;;;;;;;;;;;;x
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen—aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;x
liberal;Liberal;;;;;;;;;;;;;x
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;;;;;;;;;;x
reactionary;Reactionary;;;;;;;;;;;;;x
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;;;;;;;;;;x
socialist;Socialist;;;;;;;;;;;;;x
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;;;;;;;;;;x
tribalist;Tribalist;;;;;;;;;;;x
tribalist_uh;If you got these guys in your Upper House, something went terribly wrong.;;;;;;;;;;;;;x
