CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
acquire_all_cores;Acquire All Cores;;;;;;;;;;;;;x
acquire_all_cores_desc;Acquire all enemy §YSTATES§W where we have §Ycore provinces§W;;;;;;;;;;;;;x
acquire_all_cores_setup;Acquire all core provinces from $RECIPIENT$;;;;;;;;;;;;;x
acquire_all_cores_short;Acquire all cores from $RECIPIENT$;;;;;;;;;;;;;x
acquire_any_state;Acquire State;Prendre territoire clé;Kernprovinz erwerben;;;;;;;;;;;x
acquire_any_state_desc;Acquire an enemy §Ystate§W;Prendre un §YÉtat§W ennemi o?nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;x
acquire_any_state_setup;Acquire $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;x
acquire_any_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;x
acquire_core_state;Acquire core;Prendre territoire clé;Kernprovinz erwerben;;;;;;;;;;;x
acquire_core_state_desc;Acquire an enemy §Ystate§W where we have §Ycore provinces§W;Prendre un §YÉtat§W ennemi où nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;x
acquire_core_state_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;x
acquire_core_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;x
acquire_state;Acquire state;Prendre État;$STATE$ erwerben;;;;;;;;;;;x
acquire_state_desc;Acquire an enemy §Ystate§W;;;;;;;;;;;;;x
acquire_state_for_puppet;Acquire State Early for Puppet;Prendre un ?at;Region erobern;;;;;;;;;;;x
acquire_state_for_puppet_desc;Acquire an enemy §Ystate§W;;;;;;;;;;;;;x
acquire_state_for_puppet_setup;Acquire $STATE$ from $RECIPIENT$ for a puppet.;Prendre $STATE$ ?$RECIPIENT$;$STATE$ von $RECIPIENT$ erobern.;;;;;;;;;;;x
acquire_state_for_puppet_short;Acquire $STATE$ for a puppet.;Prendre l'?at de $STATE$;$STATE$ erobern;;;;;;;;;;;x
acquire_state_late;Acquire State Late game;;;;;;;;;;;;;x
acquire_state_late_desc;Acquire an enemy §Ystate§W for 55% less war score;;;;;;;;;;;;;x
acquire_state_late_for_puppet;Acquire State Late game for Puppet;;;;;;;;;;;;;x
acquire_state_late_for_puppet_desc;Acquire an enemy §Ystate§W for a puppet using 55% less war score;;;;;;;;;;;;;x
acquire_state_late_for_puppet_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_state_late_for_puppet_short;Acquire for a puppet $STATE$ for 55% less.;;;;;;;;;;;;;x
acquire_state_late_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_state_late_short;Acquire $STATE$ for 55% less.;;;;;;;;;;;;;x
acquire_state_midgame;Acquire State Midgame;;;;;;;;;;;;;x
acquire_state_midgame_desc;Acquire an enemy §Ystate§W for 33% less war score;;;;;;;;;;;;;x
acquire_state_midgame_for_puppet;Acquire State Midgame for Puppet;;;;;;;;;;;;;x
acquire_state_midgame_for_puppet_desc;Acquire an enemy §Ystate§W for a puppet using 33% less war score;;;;;;;;;;;;;x
acquire_state_midgame_for_puppet_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_state_midgame_for_puppet_short;Acquire for a puppet $STATE$ for 33% less.;;;;;;;;;;;;;x
acquire_state_midgame_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_state_midgame_short;Acquire $STATE$ for 33% less.;;;;;;;;;;;;;x
acquire_state_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_state_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_substate_core_region;Acquire substate core region;Acquérir une région comme Sous-État;Beschafft eine Unterstaatsregion;;;;;;;;;;;x
acquire_substate_core_region_desc;Acquire a core region from enemy §Ysubstate§W;Acquérir une région d'un §YSous-État§W ennemi;Beschafft eine Region des Feindes §Ysubstate§W;;;;;;;;;;;x
acquire_substate_core_region_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erobern.;;;;;;;;;;;x
acquire_substate_core_region_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erobern;;;;;;;;;;;x
acquire_substate_region;Acquire substate region;Acquérir une région comme Sous-État;Beschafft eine Unterstaatsregion;;;;;;;;;;;x
acquire_substate_region_desc;Acquire a region from enemy §Ysubstate§W;Acquérir une région d'un §YSous-État§W ennemi;Beschafft eine Region des Feindes §Ysubstate§W;;;;;;;;;;;x
acquire_substate_region_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erobern.;;;;;;;;;;;x
acquire_substate_region_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erobern;;;;;;;;;;;x
acquire_treaty_port;Acquire Treaty Port;;;;;;;;;;;;;x
acquire_treaty_port_desc;Acquire a treaty port concession by force from China;;;;;;;;;;;;;x
acquire_treaty_port_setup;Acquire the treaty port of $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_treaty_port_short;Acquires concession of $STATE$;;;;;;;;;;;;;x
add_to_sphere;Add to Sphere;ajouter à la sphère;In Einflusssphäre aufnehmen;;;;;;;;;;;x
add_to_sphere_AI;Add to Sphere;ajouter ?la sphère;In Einflusssphäre aufnehmen;;;;;;;;;;;x
