CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
invest_in_alaska_title;Invest in Alaska;;;;;;;;;;;;x
invest_in_alaska_desc;We acquired Alaska. We have to find some use for that land somehow, maybe we could start our very own Colonial Empire, like the big boys.\n\nThe first thing we need would be to build some infrastructure, and give incentives to people to move there.;;;;;;;;;;;;x
invest_in_alaska_2_title;Increase Alaskan Investments;;;;;;;;;;;;x
invest_in_alaska_2_desc;Our last round of investments in Alaska were quite successful. No wonder why everyone else is colonizing!\n\nWe can continue to build our "colonial empire" by dumping more money into it.;;;;;;;;;;;;x
move_to_alaska_title;Relocate the royal family to Alaska!;;;;;;;;;;;;x
move_to_alaska_desc;The Princes of Liechtenstein rarely step foot into the country named after them. Governing from their estate in Prague, the principality of Liechtenstein is of minor importance to them. However, with the recent purchase of Alaska by The House of Liechtenstein, it's about time they take their principality seriously. The royal family has drafted plans for the construction of a new palace in Alaska, serving as the head of our administration and as their primary residence.;;;;;;;;;;;;x
andean_conf_by_sword_title;Form the Andean Confederation, by force.;;;;;;;;;;;;x
andean_conf_by_sword_desc;It is time to unite the Andean Nations under a single flag! Though some may resist, we shall bring all Andean nations together under one banner through the strength of our will and the might of our soldiers.;;;;;;;;;;;;x
form_andean_conf_title;Form the Andean Confederation;;;;;;;;;;;;x
form_andean_conf_desc;It is time to unite the Andean Nations under a single flag! With all of them under our sphere of influence, it will be easy to come to an agreement to make this dream reality.;;;;;;;;;;;;x
